"","Model1","Model2","uniform_weights","uniform_by_type_weights","inv_std_weights","inv_var_weights","inv_rmse_weights"
"1","LM","BLUP",0.891823414808471,0.89076741729429,0.898587320365039,0.905954469502005,0.884130804037896
"2","LM","SVR",0.94322660978075,0.945897999608745,0.944219132856558,0.946776061203223,0.943982203119948
"3","LM","DNN-CO",0.916319523515957,0.916724746822561,0.922006260097334,0.926640309052139,0.915281481334268
"4","LM","DNN-SO",0.948104891028348,0.948096617268483,0.947700654131174,0.948044247631314,0.948157191176453
"5","LM","LM",0.980235699248098,0.980259788454553,0.973207484393837,0.968654038696294,1.00530198635303
"6","LM","KNN",0.980235699248098,0.980259788454553,0.973207484393837,0.968654038696294,1.00530198635303
"7","LM","RNR",0.980235699248098,0.980259788454553,0.973207484393837,0.968654038696294,1.00530198635303
"8","LM","RF",0.980235699248098,0.980259788454553,0.973207484393837,0.968654038696294,1.00530198635303
"9","BLUP","LM",0.894104084686518,0.890595240444594,0.898619094654572,0.905863695058652,0.885397648149793
"10","BLUP","BLUP",0.894707612660238,0.901968606891701,0.902890950817075,0.902889288465168,0.902385452478348
"11","BLUP","KNN",0.932888154267252,0.932496792221326,0.925718676316618,0.920345474568719,0.977948058453848
"12","BLUP","RNR",0.945014811316838,0.945340253106271,0.936389387610443,0.927836248590848,0.995775774217077
"13","BLUP","RF",0.920830209226224,0.919856740452549,0.934298803575112,0.948823940663254,0.902660615039685
"14","BLUP","SVR",0.887011371412582,0.886191419979841,0.887660358108779,0.887340737529345,0.882582219420904
"15","BLUP","DNN-CO",0.89190267002261,0.891911674706246,0.891315947288087,0.892463341815144,0.890994721520776
"16","BLUP","DNN-SO",0.914985150952122,0.917152213814992,0.922011434638535,0.932454919999315,0.913883437770576
"17","KNN","BLUP",0.933089663606201,0.933159022098403,0.925923459952549,0.919716822013656,0.977396070077564
"18","KNN","SVR",0.989061896498371,0.988929678139254,0.983762213512942,0.977747073656087,1.02902834036995
"19","KNN","DNN-CO",0.966103386023888,0.966322270094111,0.963407540139811,0.957258748068787,1.00600641264779
"20","KNN","DNN-SO",1.00470808506264,1.00371682471045,0.996301570461065,0.991881640806738,1.02523127403422
"21","KNN","LM",1.03423946599919,1.03423965721562,1.03344721249941,1.03477643951091,1.04701048756836
"22","KNN","KNN",1.03423946599919,1.03423965721562,1.03344721249941,1.03477643951091,1.04701048756836
"23","KNN","RNR",1.03423946599919,1.03423965721562,1.03344721249941,1.03477643951091,1.04701048756836
"24","KNN","RF",1.03423946599919,1.03423965721562,1.03344721249941,1.03477643951091,1.04701048756836
"25","RNR","BLUP",0.945097945980777,0.945336700745361,0.936470728185671,0.927950971299926,0.995876150877166
"26","RNR","SVR",0.997954041528925,0.99799934462915,0.992271047008603,0.987384048122146,1.04931395499121
"27","RNR","DNN-CO",0.974752207416953,0.974555481265321,0.971644757400897,0.963344355675626,1.02275338537203
"28","RNR","DNN-SO",1.01556917117649,1.01532092873425,1.00529362567789,0.998166732777448,1.0439278933128
"29","RNR","LM",1.04535712471651,1.04535620079993,1.04286309329684,1.04272705666106,1.06287074980392
"30","RNR","KNN",1.04535712471651,1.04535620079993,1.04286309329684,1.04272705666106,1.06287074980392
"31","RNR","RNR",1.04535712471651,1.04535620079993,1.04286309329684,1.04272705666106,1.06287074980392
"32","RNR","RF",1.04535712471651,1.04535620079993,1.04286309329684,1.04272705666106,1.06287074980392
"33","RF","BLUP",0.921275767669424,0.920258834883472,0.933877012037048,0.948100418154377,0.902937156869333
"34","RF","RF",1.10569876045011,1.10573462993835,1.10578255101143,1.10584598013212,1.10580707551066
"35","RF","SVR",0.969001953592659,0.969089352297338,0.976810437400969,0.987190996950489,0.973646780718831
"36","RF","DNN-CO",0.93060415994951,0.930816667440673,0.946291833289722,0.958600909368103,0.922971980271703
"37","RF","DNN-SO",0.977443059024804,0.977292005728849,0.976067077966378,0.976311895573428,0.968959461716998
"38","RF","LM",1.00942608619321,1.00945333545057,1.01188612975303,1.01666933493995,1.01704853364041
"39","RF","KNN",1.00942608619321,1.00945333545057,1.01188612975303,1.01666933493995,1.01704853364041
"40","RF","RNR",1.00942608619321,1.00945333545057,1.01188612975303,1.01666933493995,1.01704853364041
"41","SVR","LM",0.943693747663407,0.945333533414129,0.944418615597638,0.946700375396656,0.94485936016123
"42","SVR","BLUP",0.887201214120866,0.887386085343682,0.888121720154748,0.886541478316739,0.88223843644039
"43","SVR","KNN",0.988413855004871,0.988700615070048,0.983627588142277,0.977524041642082,1.02933302961137
"44","SVR","RNR",0.998303530184898,0.998828121427431,0.992521634278786,0.986392032733179,1.0498121158782
"45","SVR","RF",0.968763769160229,0.969381864804202,0.97711965966414,0.985662888499189,0.973258114609886
"46","SVR","SVR",0.956762240943153,0.959264996693485,0.959942570094319,0.956941398220398,0.95888409126624
"47","SVR","DNN-CO",0.919810223162807,0.920207722288589,0.919476552002573,0.920426960993141,0.918202296508468
"48","SVR","DNN-SO",0.950241965800014,0.949998328338899,0.953583807732257,0.956031757984496,0.953416360332744
"49","DNN-CO","LM",0.916353949228871,0.916493279381651,0.922042503345841,0.926971161442786,0.915863449295557
"50","DNN-CO","BLUP",0.892357354725984,0.892289659368182,0.891455785378515,0.892748993892901,0.891459505287032
"51","DNN-CO","KNN",0.966025986400944,0.966286286442423,0.963502293339968,0.957566475973763,1.00644035344709
"52","DNN-CO","RNR",0.974806008222635,0.974637878925098,0.971837203392839,0.963296077575167,1.02316795349831
"53","DNN-CO","RF",0.930497431523968,0.930828913246102,0.946653531836622,0.958191477517619,0.923351854452078
"54","DNN-CO","SVR",0.91940838731874,0.919936474631734,0.920037367583246,0.921270411458135,0.919710457061622
"55","DNN-CO","DNN-CO",0.936649290569393,0.936910477704532,0.938793795007391,0.938533514190197,0.93855975852141
"56","DNN-CO","DNN-SO",0.941096151864086,0.94278700563199,0.947407263596596,0.952831218906217,0.944447537547864
"57","DNN-SO","LM",0.948253409557604,0.947229804942763,0.947615826506104,0.947967597677022,0.94889430547982
"58","DNN-SO","BLUP",0.916161458716315,0.917575262715388,0.921757651461865,0.931878848232976,0.913565532406436
"59","DNN-SO","KNN",1.00474883958576,1.00348992921771,0.995870564024714,0.991649872526956,1.0255338408978
"60","DNN-SO","RNR",1.01599605177926,1.01573268019494,1.00500921505029,0.997443203345561,1.04415135522593
"61","DNN-SO","RF",0.977442863432761,0.977252686451674,0.975607649401834,0.974744186658601,0.968669419298283
"62","DNN-SO","SVR",0.950547127899389,0.949628013681644,0.952922307612227,0.955950531052002,0.953440386373071
"63","DNN-SO","DNN-CO",0.941573475281728,0.942750047082185,0.94688943718142,0.95227874263011,0.943460419680349
"64","DNN-SO","DNN-SO",0.984727999927672,0.985126930950143,0.984201395576383,0.986071736306529,0.983659805556571
