,all_mod_cols,uniform_weights,uniform_by_type_weights,inv_rmse_weights,inv_std_weights,inv_var_weights
0,lm_0,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
1,lm_1,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
2,lm_2,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
3,lm_3,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
4,lm_4,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
5,lm_5,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
6,lm_6,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
7,lm_7,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
8,lm_8,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
9,lm_9,0.0125,0.0125,0.006568475015160156,0.01586610782257368,0.019263685356192533
10,bglr_0,0.0125,0.0125,0.010389866597923412,0.011569010363087695,0.010242146737703416
11,bglr_1,0.0125,0.0125,0.010391803916837528,0.011565651068329975,0.010236199574813837
12,bglr_2,0.0125,0.0125,0.010387948233149664,0.011568567102131815,0.010241361907084745
13,bglr_3,0.0125,0.0125,0.010384505423222107,0.01157075390268718,0.010245234112249549
14,bglr_4,0.0125,0.0125,0.01038802109150039,0.011565498364947892,0.010235929275810948
15,bglr_5,0.0125,0.0125,0.010389015122041203,0.011567974963272687,0.01024031352259585
16,bglr_6,0.0125,0.0125,0.010384575692777108,0.011570745385659257,0.010245219029582742
17,bglr_7,0.0125,0.0125,0.010392903460467623,0.011566226903746073,0.010237218888459425
18,bglr_8,0.0125,0.0125,0.010397604184766448,0.011562749363017202,0.010231063900480833
19,bglr_9,0.0125,0.0125,0.010390190729948503,0.011569281966388999,0.010242627648936613
20,knn_0,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
21,knn_1,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
22,knn_2,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
23,knn_3,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
24,knn_4,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
25,knn_5,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
26,knn_6,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
27,knn_7,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
28,knn_8,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
29,knn_9,0.0125,0.0125,0.025638090277666264,0.009783266659361335,0.007324303898205405
30,rf_0,0.0125,0.0125,0.006970372592919933,0.01451177448383333,0.01611534527810524
31,rf_1,0.0125,0.0125,0.006970372592919933,0.01451177448383333,0.01611534527810524
32,rf_2,0.0125,0.0125,0.006970372592919933,0.01451177448383333,0.01611534527810524
33,rf_3,0.0125,0.0125,0.006970372592919933,0.01451177448383333,0.01611534527810524
34,rf_4,0.0125,0.0125,0.006970372592919933,0.01451177448383333,0.01611534527810524
35,rf_5,0.0125,0.0125,0.006970372592919933,0.01451177448383333,0.01611534527810524
36,rf_6,0.0125,0.0125,0.006970372592919933,0.014511774483833331,0.016115345278105247
37,rf_7,0.0125,0.0125,0.006970372592919933,0.01451177448383333,0.01611534527810524
38,rf_8,0.0125,0.0125,0.006970372592919933,0.014511774483833331,0.016115345278105247
39,rf_9,0.0125,0.0125,0.006970372592919933,0.01451177448383333,0.01611534527810524
40,rnr_0,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
41,rnr_1,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
42,rnr_2,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
43,rnr_3,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
44,rnr_4,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
45,rnr_5,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
46,rnr_6,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
47,rnr_7,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
48,rnr_8,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
49,rnr_9,0.0125,0.0125,0.02564730951021742,0.009783423014496447,0.007324538012579805
50,svrl_0,0.0125,0.0125,0.006244520028718614,0.01218157751148429,0.011355483729794662
51,svrl_1,0.0125,0.0125,0.006105921479228308,0.0110877523775879,0.009407746577073725
52,svrl_2,0.0125,0.0125,0.006126292418443286,0.011797629411886824,0.01065094331441356
53,svrl_3,0.0125,0.0125,0.006039397509645071,0.01299227648070517,0.012917220743011127
54,svrl_4,0.0125,0.0125,0.006295587515231561,0.012184223380514435,0.011360417144310547
55,svrl_5,0.0125,0.0125,0.00600732541838278,0.01137793990952378,0.009906627765724955
56,svrl_6,0.0125,0.0125,0.006138917501099052,0.011006062519757543,0.009269632665641592
57,svrl_7,0.0125,0.0125,0.0063085979164824715,0.011994051647574921,0.011008557182832331
58,svrl_8,0.0125,0.0125,0.006407672140095038,0.012460111083445906,0.011880710177771083
59,svrl_9,0.0125,0.0125,0.006058614335692362,0.012221960802077535,0.011430897920974962
60,full_0,0.0125,0.0125,0.009588631925242624,0.014949017605342767,0.017101093446334953
61,full_1,0.0125,0.0125,0.00854199621343225,0.016484502236258847,0.02079458459107639
62,full_2,0.0125,0.0125,0.008918620753255722,0.01767356974739038,0.023902709299872333
63,full_3,0.0125,0.0125,0.010797202825189521,0.014145893955956572,0.01531296781082723
64,full_4,0.0125,0.0125,0.009551429863986143,0.016251262007264528,0.02021029988729081
65,full_5,0.0125,0.0125,0.010509056365278898,0.013508960087251156,0.013965047283928144
66,full_6,0.0125,0.0125,0.010084948188981528,0.014546801087040479,0.016193233343649315
67,full_7,0.0125,0.0125,0.009219536470906857,0.016619471287362506,0.021136495449996143
68,full_8,0.0125,0.0125,0.009447050897208454,0.01504363481030352,0.017318255311240267
69,full_9,0.0125,0.0125,0.01072099896301096,0.014803330949904984,0.016769397930879247
70,cat_0,0.0125,0.0125,0.010022033341563326,0.011642103592679776,0.010371975736693385
71,cat_1,0.0125,0.0125,0.009778016254040999,0.012726419637048481,0.012393987456377965
72,cat_2,0.0125,0.0125,0.0002967625460959771,0.0005427581682364293,2.25429791624587e-05
73,cat_3,0.0125,0.0125,0.009833586886337758,0.012314997462023457,0.011605590078372264
74,cat_4,0.0125,0.0125,0.009942047019152547,0.011512032215681211,0.010141508662935847
75,cat_5,0.0125,0.0125,0.0099246087405298,0.011129430299304459,0.0094786053478225
76,cat_6,0.0125,0.0125,0.009931015200709605,0.011843344544218579,0.010733646820128803
77,cat_7,0.0125,0.0125,0.009931987206417095,0.012321684975813572,0.011618198057743454
78,cat_8,0.0125,0.0125,0.009323320234080706,0.014558796118618008,0.016219949654248004
79,cat_9,0.0125,0.0125,0.009765395429288993,0.012956224901825374,0.012845633581324165
