data_source,model_class,model,replicate,test_rmse
Multi,ML,rnr,1,1.0901498128690432
Multi,ML,rnr,5,1.0901498128690432
Multi,ML,rnr,0,1.0901498128690432
Multi,ML,rnr,8,1.0901498128690432
Multi,ML,rnr,4,1.0901498128690432
Multi,ML,rnr,3,1.0901498128690432
Multi,ML,rnr,6,1.0901498128690432
Multi,ML,rnr,4All,1.0901498128690428
Multi,ML,rnr,7,1.0901498128690432
Multi,ML,rnr,2,1.0901498128690432
Multi,ML,rnr,9,1.0901498128690432
Multi,ML,svrl,4All,1.0533389088249023
Multi,ML,svrl,2,1.0561314628324339
Multi,ML,svrl,1,0.9939549248780124
Multi,ML,svrl,3,1.0443342572065424
Multi,ML,svrl,5,1.130005188771015
Multi,ML,svrl,0,1.0756523470612893
Multi,ML,svrl,4,1.014303593600555
Multi,ML,svrl,8,1.0014259871701585
Multi,ML,svrl,7,1.018911206133202
Multi,ML,svrl,9,0.9926409347861768
Multi,ML,svrl,6,1.0682350473503468
Multi,ML,knn,4,1.063363124510366
Multi,ML,knn,9,1.063363124510366
Multi,ML,knn,4All,1.0633693646125466
Multi,ML,knn,0,1.063363124510366
Multi,ML,knn,5,1.063363124510366
Multi,ML,knn,8,1.063363124510366
Multi,ML,knn,3,1.063363124510366
Multi,ML,knn,1,1.063363124510366
Multi,ML,knn,7,1.063363124510366
Multi,ML,knn,2,1.063363124510366
Multi,ML,knn,6,1.063363124510366
Multi,ML,rf,3,1.1056330355531907
Multi,ML,rf,5,1.105633035553191
Multi,ML,rf,2,1.112833876034673
Multi,ML,rf,6,1.1056330355531907
Multi,ML,rf,4,1.105633035553191
Multi,ML,rf,9,1.1056330355531907
Multi,ML,rf,8,1.112833876034673
Multi,ML,rf,0,1.1056330355531907
Multi,ML,rf,4All,1.1056330355531907
Multi,ML,rf,7,1.1056330355531907
Multi,ML,rf,1,1.1056330355531907
Multi,DNN,DNN-Sim.,1,1.0583139446407914
Multi,DNN,DNN-Sim.,9,0.9698919345287438
Multi,DNN,DNN-Sim.,4,1.0516832395420974
Multi,DNN,DNN-Sim.,2,1.053025821682617
Multi,DNN,DNN-Sim.,7,1.0105425355047117
Multi,DNN,DNN-Sim.,6,1.0076698652431626
Multi,DNN,DNN-Sim.,3,1.0519865069152945
Multi,DNN,DNN-Sim.,5,1.0112709339368662
Multi,DNN,DNN-Sim.,8,0.9710221223534057
Multi,DNN,DNN-Sim.,0,1.053118836737745
Multi,DNN,DNN-Con.,1,0.9515346328743439
Multi,DNN,DNN-Con.,9,0.9555747838078291
Multi,DNN,DNN-Con.,4,0.9625909096125499
Multi,DNN,DNN-Con.,2,0.938059389939973
Multi,DNN,DNN-Con.,7,0.9512317335938739
Multi,DNN,DNN-Con.,6,0.921254374968763
Multi,DNN,DNN-Con.,3,0.9478673750141895
Multi,DNN,DNN-Con.,5,0.9651562316555117
Multi,DNN,DNN-Con.,8,0.9493728515715995
Multi,DNN,DNN-Con.,0,0.9387849565985347
Multi,LM,lm,6,0.972881876258408
Multi,LM,lm,8,0.972881876258408
Multi,LM,lm,3,0.972881876258408
Multi,LM,lm,9,0.972881876258408
Multi,LM,lm,4,0.972881876258408
Multi,LM,lm,7,0.972881876258408
Multi,LM,lm,2,0.972881876258408
Multi,LM,lm,0,0.972881876258408
Multi,LM,lm,1,0.972881876258408
Multi,LM,lm,5,0.972881876258408
Multi,BLUP,BLUP,,1.00246980599137
Multi,BLUP,BLUP,,0.8943071379058418
Multi,BLUP,BLUP,,0.8931508613030746
Multi,BLUP,BLUP,,0.8725427954477547
Multi,BLUP,BLUP,,0.9171990959204166
Multi,BLUP,BLUP,,0.9546244775517976
Multi,BLUP,BLUP,,1.0202528026835527
Multi,BLUP,BLUP,,0.976070064263295
Multi,BLUP,BLUP,,0.8579024196965547
Multi,BLUP,BLUP,,0.9853464970578827
Multi,LM,Fixed,0,1.0880738020088525
Multi,LM,Fixed,0,1.0880738020088525
